,index,Timestamp,X,Y,Z
0,1,2025-05-01 16:55:28,0.0,0.0,0.0
1,2,2025-05-01 16:55:29,-0.08700000494718552,-0.3570000231266022,10.159050941467285
2,3,2025-05-01 16:55:36,-0.11400000751018524,-0.3460500240325928,10.18005084991455
3,4,2025-05-01 16:55:37,-0.10005000233650208,-0.2550000250339508,10.030050277709961
4,5,2025-05-01 16:55:38,-0.30900001525878906,-0.3720000088214874,10.18695068359375
5,6,2025-05-01 16:55:39,-0.1189500093460083,-0.3550500273704529,10.144050598144531
6,7,2025-05-01 16:55:40,-0.17295001447200775,-0.3730500042438507,10.180950164794922
7,8,2025-05-01 16:55:41,-0.15195000171661377,-0.2939999997615814,10.210050582885742
8,9,2025-05-01 16:55:42,-0.1680000126361847,-0.37005001306533813,10.194000244140625
9,10,2025-05-01 16:55:43,-0.15105000138282776,-0.36900001764297485,10.195050239562988
10,11,2025-05-01 16:55:44,-0.15195000171661377,-0.21300001442432404,10.189050674438477
11,12,2025-05-01 16:55:45,-0.15105000138282776,-0.30705001950263977,10.276050567626953
12,13,2025-05-01 16:55:46,-0.15600000321865082,-0.39900001883506775,10.27695083618164
13,14,2025-05-01 16:55:48,-0.1290000081062317,-0.37095001339912415,10.183950424194336
14,15,2025-05-01 16:55:49,-0.05400000140070915,-0.361050009727478,10.248000144958496
15,16,2025-05-01 16:55:50,-0.19395001232624054,-0.12300000339746475,10.123050689697266
16,17,2025-05-01 16:55:51,-0.14400000870227814,-0.3139500021934509,10.245000839233398
17,18,2025-05-01 16:55:52,-0.18495000898838043,-0.23400001227855682,10.233000755310059
18,19,2025-05-01 16:55:53,-0.1380000114440918,-0.3270000219345093,10.128000259399414
19,20,2025-05-01 16:55:54,-0.23895001411437988,-0.2749500274658203,10.1089506149292
